"SERIES","CUADRO 1.1.1: Producto interno bruto, trimestral, volumen a precios del año anterior encadenadoBC00201","CUADRO 1.1.1: Producto interno bruto, trimestral, volumen a precios del año anterior encadenadoBC00202","CUADRO 1.1.1: Producto interno bruto, trimestral, volumen a precios del año anterior encadenadoBC00203","CUADRO 1.1.1: Producto interno bruto, trimestral, volumen a precios del año anterior encadenadoBC00204"
"DESCRIPCIÓN","PIB total","PIB total ","PIB desestacionalizado","PIB desestacionalizado"
"UNIDAD","Miles de millones de pesos encadenados","Variación porcentual respecto igual período del año anterior","Miles de millones de pesos encadenados","Variación porcentual respecto del período anterior"
"MAR2001","20124.0333555744","3.64512058127199","20051.039304814","0.690171667295614"
"JUN2001","20456.90757973","4.33713116309447","20260.646624874","1.04536885531752"
"SEP2001","19392.5504118386","2.94591035775072","20239.163523277","-0.106033642433834"
"DIC2001","21035.2720240831","2.32100224929604","20376.520015145","0.678666841690512"
"MAR2002","20425.4670971514","1.4978793577358","20558.322200226","0.892214102044275"
"JUN2002","20985.1164949276","2.58205651630839","20725.447262511","0.812931428242525"
"SEP2002","20172.9795199281","4.02437581192544","20941.255916833","1.04127380986545"
"DIC2002","21942.1186657274","4.31107637023192","21213.055812971","1.29791592833515"
"MAR2003","21364.3752131275","4.59675223832232","21467.126439191","1.19770875285514"
"JUN2003","21878.071773955","4.25518380726291","21647.225021191","0.838950581067088"
"SEP2003","20978.8667385676","3.99488443362302","21789.053258272","0.655179760649061"
"DIC2003","22721.4435225341","3.55173020745695","21959.102126805","0.780432570967449"
"MAR2004","22420.5189665167","4.94348064407801","22499.767052339","2.46214495661925"
"JUN2004","23247.8642448444","6.26102923988087","22990.203478184","2.17974001554837"
"SEP2004","22704.9470151902","8.22770980974528","23638.444090013","2.81963842748991"
"DIC2004","24837.5996299413","9.31347563947033","23971.265781314","1.40796784269577"
"MAR2005","23847.0860391072","6.36277454023694","23962.122493831","-0.0381426978717459"
"JUN2005","24598.8394183919","5.81117972523888","24350.807987943","1.62208291111134"
"SEP2005","23895.6802592577","5.24437799071224","24917.275861778","2.32627958019085"
"DIC2005","26222.2698390342","5.57489543966949","25263.523600862","1.38958905863034"
"MAR2006","25311.3632301735","6.1402772173718","25478.935981049","0.852661661889664"
"JUN2006","26227.7570402276","6.62192875903654","26007.915545744","2.07614464390684"
"SEP2006","25345.7849055502","6.06848028831788","26347.6850805","1.30640817468972"
"DIC2006","27905.4242093745","6.41879738356857","26884.827700873","2.03867102074384"
"MAR2007","26760.8539007374","5.72664007616912","27140.902189019","0.95248699748105"
"JUN2007","27658.9182846096","5.456666546769","27394.39617009","0.933992463867184"
"SEP2007","26452.9373231227","4.3681914831133","27434.623802414","0.146846209254736"
"DIC2007","29057.9255815653","4.13002634736378","27896.185952763","1.68240743402643"
